Player None 2025-01-21 21:22:20.582497 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:22:24.106561 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:22:24.172254 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.172254 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.192360 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.201371 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.228954 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.228954 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.379526 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.379526 COLOR: red, VALUE: 9 
Player None 2025-01-21 21:22:24.379526 False False 
Player None 2025-01-21 21:22:24.414649 CLICKED, PLAYABLE=2 
CONNECTION HANDLER 2025-01-21 21:22:24.480767 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.480767 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.501330 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.507852 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.537075 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.537075 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.687940 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.687940 COLOR: red, VALUE: 9 
Player None 2025-01-21 21:22:24.687940 False False 
CONNECTION HANDLER 2025-01-21 21:22:24.782729 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.783771 COLOR: red, VALUE: 9 
CONNECTION HANDLER 2025-01-21 21:22:24.803312 COLOR: red, VALUE: 2 
CONNECTION HANDLER 2025-01-21 21:22:24.811823 COLOR: red, VALUE: 2 
CONNECTION HANDLER 2025-01-21 21:22:29.484323 COLOR: red, VALUE: 2 
CONNECTION HANDLER 2025-01-21 21:23:55.313149 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:55.405932 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:55.439644 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:55.539928 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:57.768037 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:57.857899 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:57.903064 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:58.003607 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:58.004116 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:58.104930 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:58.104930 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:58.205391 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:23:58.205391 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:23:58.231963 COLOR: blue, VALUE: b1 
Player None 2025-01-21 21:24:07.838138 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:24:07.904298 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:07.904298 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:07.925910 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:07.932433 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:07.964077 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:07.964590 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:08.115046 COLOR: blue, VALUE: b1 
Player None 2025-01-21 21:24:08.114538 False False 
